cod_ine,nombre,concejales,concejales_hombres,concejales_mujeres,concejo,votacion,resultado
31201,Totora,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""MSM"",""v"":1}]",,
31202,Pojo,,,,[],,
31203,Pocona,,,,[],,
31204,Chimoré,,,,[],,
31205,Puerto Villarroel,,,,[],,
31206,Entre Ríos (Bulo Bulo),,,,[],,
31301,Mizque,7,4,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""MSM"",""v"":3}]",,
31302,Vila Vila,5,3,2,"[{""s"":""MAS-IPSP"",""v"":5}]",,
31303,Alalay,,,,[],,
31401,Punata,7,4,3,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""IMU"",""v"":5}]",,
31402,Villa Rivero,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""MSM"",""v"":1},{""s"":""P.O.V.E."",""v"":2}]",,
31403,San Benito,,,,[],,
31404,Tacachi,,,,[],,
31405,Cuchumuela (Villa Gualberto Villarroel),,,,[],,
31501,Bolívar,5,2,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""POKUY"",""v"":1}]",,
31601,Tiraque,5,3,2,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""MSM"",""v"":1}]",,
31602,Shinahota,,,,[],,
40101,Oruro,5,3,2,"[{""s"":""MAS-IPSP"",""v"":5},{""s"":""MSM"",""v"":4},{""s"":""UN"",""v"":1},{""s"":""MCSFA"",""v"":1}]",,
40102,Caracollo,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":1},{""s"":""FPV"",""v"":1}]",,
40103,El Choro,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":1},{""s"":""UCS"",""v"":1}]",,
40104,Soracachi (Paria),5,2,3,"[{""s"":""MAS-IPSP"",""v"":4},{""s"":""FIC"",""v"":1}]",,
40201,Challapata,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""MSM"",""v"":2}]",,
40202,Santuario de Quillacas,5,3,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""AYNI"",""v"":3}]",,
40301,Corque,5,3,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""FPV"",""v"":1},{""s"":""SUMA"",""v"":1}]",,
40302,Choquecota,4,2,2,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""FPV"",""v"":2}]",,
40401,Curahuara de Carangas,5,2,3,"[{""s"":""MAS-IPSP"",""v"":5}]",,
40402,Turco,5,2,3,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""FPV"",""v"":1}]",,
40501,Huachacalla,4,2,2,"[{""s"":""MAS-IPSP"",""v"":2},{""s"":""MSM"",""v"":2}]",,
40502,Escara,,,,[],,
40503,Cruz de Machacamarca,,,,[],,
40504,Yunguyo del Litoral,,,,[],,
40505,Esmeralda,,,,[],,
40601,Villa Poopó,5,2,3,"[{""s"":""MAS-IPSP"",""v"":3},{""s"":""FPV"",""v"":2}]",,
